accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
1604240733.8577192,0.277099609375,0.85595703125,-0.1678466796875,-19.404580152671755,-27.46564885496183,-85.72519083969466,squat
1604240733.8977191,0.252685546875,0.7900390625,-0.1446533203125,-17.48854961832061,-27.099236641221374,-79.19847328244275,squat
1604240733.937719,0.2080078125,0.890869140625,-0.1971435546875,-4.824427480916031,-37.29770992366412,-67.6793893129771,squat
1604240733.977719,0.282958984375,0.850341796875,-0.2291259765625,-14.145038167938932,-8.923664122137405,-57.045801526717554,squat
1604240734.017719,0.006591796875,0.947021484375,-0.2962646484375,-8.061068702290076,-6.801526717557252,-51.2442748091603,squat
1604240734.057719,0.185791015625,0.93359375,-0.1510009765625,-6.022900763358779,5.458015267175573,-44.16793893129771,squat
1604240734.097719,0.02001953125,0.928955078125,-0.1593017578125,-6.557251908396947,5.778625954198473,-37.908396946564885,squat
1604240734.137719,-0.0936279296875,0.9443359375,-0.1151123046875,0.022900763358778626,5.076335877862595,-37.656488549618324,squat
1604240734.1777189,0.0439453125,0.991455078125,-0.1868896484375,2.5114503816793894,-9.977099236641221,-20.80916030534351,squat
1604240734.2177188,0.060791015625,0.89404296875,-0.1329345703125,4.938931297709924,-1.8625954198473282,-13.114503816793894,squat
1604240734.2577188,-0.0733642578125,0.9794921875,-0.1522216796875,-5.259541984732825,26.786259541984734,-7.854961832061068,squat
1604240734.2977188,-0.0491943359375,0.9794921875,-0.1927490234375,-3.8396946564885495,18.82442748091603,-10.900763358778626,squat
1604240734.3377187,-0.0780029296875,0.994384765625,-0.1656494140625,1.0076335877862594,23.587786259541986,-10.007633587786259,squat
1604240734.3777187,-0.1334228515625,0.97265625,-0.1429443359375,0.5114503816793893,18.458015267175572,-9.549618320610687,squat
1604240734.4177186,-0.0938720703125,0.9677734375,-0.1273193359375,1.1603053435114503,10.01526717557252,-8.549618320610687,squat
1604240734.4577186,-0.1072998046875,0.93310546875,-0.1903076171875,0.8854961832061069,13.34351145038168,-2.519083969465649,squat
1604240734.4977186,-0.1649169921875,0.978515625,-0.1146240234375,-1.7786259541984732,8.679389312977099,2.50381679389313,squat
1604240734.5377185,-0.1756591796875,0.9638671875,-0.1304931640625,2.1603053435114505,-4.893129770992366,6.427480916030534,squat
1604240734.5777185,-0.0496826171875,0.966064453125,-0.1571044921875,-3.5419847328244276,-8.045801526717558,16.68702290076336,squat
1604240734.6177185,-0.0919189453125,0.9794921875,-0.1583251953125,4.679389312977099,-9.572519083969466,14.15267175572519,squat
1604240734.6577184,-0.0137939453125,0.974853515625,-0.1729736328125,0.9083969465648855,-1.5038167938931297,17.27480916030534,squat
1604240734.6977184,-0.0413818359375,0.962158203125,-0.1507568359375,-4.3816793893129775,3.2977099236641223,24.19083969465649,squat
1604240734.7377183,-0.0360107421875,1.007080078125,-0.1209716796875,1.4961832061068703,12.961832061068701,21.251908396946565,squat
1604240734.7777183,-0.0093994140625,1.013916015625,-0.1329345703125,-5.122137404580153,23.114503816793892,21.396946564885496,squat
1604240734.8177183,-0.0130615234375,0.9423828125,-0.1663818359375,9.679389312977099,17.3206106870229,24.99236641221374,squat
1604240734.8577182,0.04150390625,1.044189453125,-0.1949462890625,3.1374045801526718,-0.7022900763358778,27.66412213740458,squat
1604240734.8977182,0.104248046875,0.928466796875,-0.1148681640625,1.4732824427480915,19.50381679389313,32.41984732824427,squat
1604240734.9377182,0.078857421875,0.970703125,-0.2166748046875,3.7099236641221376,22.46564885496183,33.30534351145038,squat
1604240734.977718,0.157470703125,0.98095703125,-0.1483154296875,3.2519083969465647,11.65648854961832,39.48854961832061,squat
1604240735.017718,0.06640625,0.859375,-0.2484130859375,3.8702290076335877,29.85496183206107,38.63358778625954,squat
1604240735.057718,0.227783203125,1.022216796875,-0.2247314453125,22.625954198473284,-5.3816793893129775,39.74809160305343,squat
1604240735.097718,0.205810546875,0.829345703125,-0.1744384765625,8.15267175572519,45.48854961832061,50.282442748091604,squat
1604240735.137718,0.197021484375,1.024658203125,-0.1739501953125,8.916030534351146,24.541984732824428,43.02290076335878,squat
1604240735.177718,0.31396484375,0.93115234375,-0.2528076171875,10.045801526717558,12.80916030534351,56.229007633587784,squat
1604240735.217718,0.393310546875,0.985595703125,-0.2169189453125,12.595419847328245,1.5877862595419847,48.69465648854962,squat
1604240735.2577178,0.431640625,0.8798828125,-0.0626220703125,21.641221374045802,-3.16793893129771,51.93129770992366,squat
1604240735.2977178,0.4130859375,0.748291015625,-0.1624755859375,-4.366412213740458,6.778625954198473,61.38931297709924,squat
